time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-05 00:00:00+00:00,297,81,187,54
2021-12-06 00:00:00+00:00,507,114,679,98
2021-12-07 00:00:00+00:00,656,142,621,99
2021-12-08 00:00:00+00:00,613,139,519,87
2021-12-09 00:00:00+00:00,656,142,485,97
2021-12-10 00:00:00+00:00,672,130,386,78
2021-12-11 00:00:00+00:00,228,86,167,43
2021-12-12 00:00:00+00:00,212,78,231,48
2021-12-13 00:00:00+00:00,275,100,348,81
2021-12-14 00:00:00+00:00,494,134,417,95
2021-12-15 00:00:00+00:00,271,80,423,89
2021-12-16 00:00:00+00:00,386,78,565,99
2021-12-17 00:00:00+00:00,541,89,499,93
2021-12-18 00:00:00+00:00,247,86,189,49
